step , number of hawks, number of doves, hawks percentage, doves percentage
0, 125, 77, 61, 38
1, 129, 73, 63, 36
2, 130, 72, 64, 35
3, 126, 76, 62, 37
4, 127, 75, 62, 37
5, 120, 82, 59, 40
6, 119, 83, 58, 41
7, 120, 82, 59, 40
8, 117, 85, 57, 42
9, 117, 85, 57, 42
10, 121, 81, 59, 40
11, 110, 92, 54, 45
12, 117, 85, 57, 42
13, 115, 87, 56, 43
14, 110, 92, 54, 45
15, 116, 86, 57, 42
16, 110, 92, 54, 45
17, 115, 87, 56, 43
18, 123, 79, 60, 39
19, 109, 93, 53, 46
20, 119, 83, 58, 41
21, 114, 88, 56, 43
22, 107, 95, 52, 47
23, 117, 85, 57, 42
24, 113, 89, 55, 44
25, 112, 90, 55, 44
26, 107, 95, 52, 47
27, 108, 94, 53, 46
28, 107, 95, 52, 47
29, 102, 100, 50, 49
30, 106, 96, 52, 47
31, 103, 99, 50, 49
32, 98, 104, 48, 51
33, 101, 101, 50, 50
34, 106, 96, 52, 47
35, 95, 107, 47, 52
36, 91, 111, 45, 54
37, 98, 104, 48, 51
38, 97, 105, 48, 51
39, 92, 110, 45, 54
40, 92, 110, 45, 54
41, 92, 110, 45, 54
42, 96, 106, 47, 52
43, 95, 107, 47, 52
44, 89, 113, 44, 55
45, 94, 108, 46, 53
46, 91, 111, 45, 54
47, 91, 111, 45, 54
48, 91, 111, 45, 54
49, 90, 112, 44, 55
50, 84, 118, 41, 58
