step , number of hawks, number of doves, hawks percentage, doves percentage
0, 128, 74, 63, 36
1, 132, 70, 65, 34
2, 128, 74, 63, 36
3, 133, 69, 65, 34
4, 127, 75, 62, 37
5, 130, 72, 64, 35
6, 129, 73, 63, 36
7, 134, 68, 66, 33
8, 121, 81, 59, 40
9, 128, 74, 63, 36
10, 122, 80, 60, 39
11, 128, 74, 63, 36
12, 115, 87, 56, 43
13, 121, 81, 59, 40
14, 115, 87, 56, 43
15, 129, 73, 63, 36
16, 108, 94, 53, 46
17, 124, 78, 61, 38
18, 120, 82, 59, 40
19, 111, 91, 54, 45
20, 120, 82, 59, 40
21, 119, 83, 58, 41
22, 113, 89, 55, 44
23, 112, 90, 55, 44
24, 117, 85, 57, 42
25, 108, 94, 53, 46
26, 116, 86, 57, 42
27, 119, 83, 58, 41
28, 106, 96, 52, 47
29, 112, 90, 55, 44
30, 110, 92, 54, 45
31, 110, 92, 54, 45
32, 115, 87, 56, 43
33, 107, 95, 52, 47
34, 111, 91, 54, 45
35, 108, 94, 53, 46
36, 103, 99, 50, 49
37, 110, 92, 54, 45
38, 110, 92, 54, 45
39, 102, 100, 50, 49
40, 106, 96, 52, 47
41, 108, 94, 53, 46
42, 102, 100, 50, 49
43, 107, 95, 52, 47
44, 101, 101, 50, 50
45, 102, 100, 50, 49
46, 101, 101, 50, 50
47, 100, 102, 49, 50
48, 98, 104, 48, 51
49, 100, 102, 49, 50
50, 98, 104, 48, 51
