step , number of hawks, number of doves, hawks percentage, doves percentage
0, 13, 7, 65, 35
1, 9, 11, 45, 55
2, 6, 14, 30, 70
3, 7, 13, 35, 65
4, 6, 14, 30, 70
5, 11, 9, 55, 45
6, 5, 15, 25, 75
7, 9, 11, 45, 55
8, 5, 15, 25, 75
9, 7, 13, 35, 65
10, 5, 15, 25, 75
11, 7, 13, 35, 65
12, 7, 13, 35, 65
13, 7, 13, 35, 65
14, 7, 13, 35, 65
15, 7, 13, 35, 65
16, 7, 13, 35, 65
17, 5, 15, 25, 75
18, 7, 13, 35, 65
19, 7, 13, 35, 65
20, 7, 13, 35, 65
21, 4, 16, 20, 80
22, 6, 14, 30, 70
23, 6, 14, 30, 70
24, 6, 14, 30, 70
25, 3, 17, 15, 85
26, 7, 13, 35, 65
27, 6, 14, 30, 70
28, 4, 16, 20, 80
29, 9, 11, 45, 55
30, 6, 14, 30, 70
31, 6, 14, 30, 70
32, 4, 16, 20, 80
33, 5, 15, 25, 75
34, 6, 14, 30, 70
35, 6, 14, 30, 70
36, 2, 18, 10, 90
37, 7, 13, 35, 65
38, 6, 14, 30, 70
39, 4, 16, 20, 80
40, 2, 18, 10, 90
41, 6, 14, 30, 70
42, 3, 17, 15, 85
43, 5, 15, 25, 75
44, 7, 13, 35, 65
45, 7, 13, 35, 65
46, 6, 14, 30, 70
47, 6, 14, 30, 70
48, 2, 18, 10, 90
49, 2, 18, 10, 90
50, 5, 15, 25, 75
51, 3, 17, 15, 85
52, 4, 16, 20, 80
53, 5, 15, 25, 75
54, 6, 14, 30, 70
55, 3, 17, 15, 85
56, 2, 18, 10, 90
57, 5, 15, 25, 75
58, 5, 15, 25, 75
59, 6, 14, 30, 70
60, 4, 16, 20, 80
61, 3, 17, 15, 85
62, 4, 16, 20, 80
63, 1, 19, 5, 95
64, 7, 13, 35, 65
65, 3, 17, 15, 85
66, 6, 14, 30, 70
67, 4, 16, 20, 80
68, 5, 15, 25, 75
69, 1, 19, 5, 95
70, 5, 15, 25, 75
71, 3, 17, 15, 85
72, 4, 16, 20, 80
73, 5, 15, 25, 75
74, 2, 18, 10, 90
75, 6, 14, 30, 70
76, 3, 17, 15, 85
77, 5, 15, 25, 75
78, 4, 16, 20, 80
79, 1, 19, 5, 95
80, 5, 15, 25, 75
81, 3, 17, 15, 85
82, 4, 16, 20, 80
83, 2, 18, 10, 90
84, 5, 15, 25, 75
85, 2, 18, 10, 90
86, 2, 18, 10, 90
87, 7, 13, 35, 65
88, 4, 16, 20, 80
89, 4, 16, 20, 80
90, 2, 18, 10, 90
91, 2, 18, 10, 90
92, 6, 14, 30, 70
93, 4, 16, 20, 80
94, 5, 15, 25, 75
95, 4, 16, 20, 80
96, 3, 17, 15, 85
97, 3, 17, 15, 85
98, 5, 15, 25, 75
99, 4, 16, 20, 80
