step , number of hawks, number of doves, hawks percentage, doves percentage
0, 2, 18, 10, 90
1, 2, 18, 10, 90
2, 4, 16, 20, 80
3, 4, 16, 20, 80
4, 3, 17, 15, 85
5, 0, 20, 0, 100
6, 4, 16, 20, 80
7, 4, 16, 20, 80
8, 4, 16, 20, 80
9, 3, 17, 15, 85
10, 4, 16, 20, 80
11, 0, 20, 0, 100
12, 1, 19, 5, 95
13, 4, 16, 20, 80
14, 2, 18, 10, 90
15, 3, 17, 15, 85
16, 1, 19, 5, 95
17, 4, 16, 20, 80
18, 2, 18, 10, 90
19, 1, 19, 5, 95
20, 3, 17, 15, 85
21, 2, 18, 10, 90
22, 3, 17, 15, 85
23, 1, 19, 5, 95
24, 2, 18, 10, 90
25, 2, 18, 10, 90
26, 3, 17, 15, 85
27, 1, 19, 5, 95
28, 3, 17, 15, 85
29, 0, 20, 0, 100
30, 1, 19, 5, 95
31, 2, 18, 10, 90
32, 0, 20, 0, 100
33, 1, 19, 5, 95
34, 3, 17, 15, 85
35, 4, 16, 20, 80
36, 1, 19, 5, 95
37, 1, 19, 5, 95
38, 1, 19, 5, 95
39, 0, 20, 0, 100
40, 0, 20, 0, 100
41, 1, 19, 5, 95
42, 2, 18, 10, 90
43, 2, 18, 10, 90
44, 2, 18, 10, 90
45, 2, 18, 10, 90
46, 1, 19, 5, 95
47, 0, 20, 0, 100
48, 3, 17, 15, 85
49, 1, 19, 5, 95
50, 1, 19, 5, 95
51, 0, 20, 0, 100
52, 2, 18, 10, 90
53, 3, 17, 15, 85
54, 1, 19, 5, 95
55, 1, 19, 5, 95
56, 3, 17, 15, 85
57, 1, 19, 5, 95
58, 1, 19, 5, 95
59, 1, 19, 5, 95
60, 1, 19, 5, 95
61, 0, 20, 0, 100
62, 2, 18, 10, 90
63, 1, 19, 5, 95
64, 1, 19, 5, 95
65, 1, 19, 5, 95
66, 0, 20, 0, 100
67, 0, 20, 0, 100
68, 3, 17, 15, 85
69, 1, 19, 5, 95
70, 1, 19, 5, 95
71, 0, 20, 0, 100
72, 1, 19, 5, 95
73, 0, 20, 0, 100
74, 3, 17, 15, 85
75, 0, 20, 0, 100
76, 2, 18, 10, 90
77, 0, 20, 0, 100
78, 1, 19, 5, 95
79, 2, 18, 10, 90
80, 2, 18, 10, 90
81, 2, 18, 10, 90
82, 1, 19, 5, 95
83, 0, 20, 0, 100
84, 0, 20, 0, 100
85, 0, 20, 0, 100
86, 2, 18, 10, 90
87, 0, 20, 0, 100
88, 1, 19, 5, 95
89, 2, 18, 10, 90
90, 1, 19, 5, 95
91, 1, 19, 5, 95
92, 1, 19, 5, 95
93, 2, 18, 10, 90
94, 0, 20, 0, 100
95, 0, 20, 0, 100
96, 1, 19, 5, 95
97, 1, 19, 5, 95
98, 1, 19, 5, 95
99, 2, 18, 10, 90
