step , number of hawks, number of doves, hawks percentage, doves percentage
0, 8, 12, 40, 60
1, 11, 9, 55, 45
2, 13, 7, 65, 35
3, 3, 17, 15, 85
4, 10, 10, 50, 50
5, 10, 10, 50, 50
6, 5, 15, 25, 75
7, 13, 7, 65, 35
8, 6, 14, 30, 70
9, 11, 9, 55, 45
10, 6, 14, 30, 70
11, 9, 11, 45, 55
12, 15, 5, 75, 25
13, 6, 14, 30, 70
14, 9, 11, 45, 55
15, 8, 12, 40, 60
16, 11, 9, 55, 45
17, 8, 12, 40, 60
18, 10, 10, 50, 50
19, 8, 12, 40, 60
20, 9, 11, 45, 55
21, 11, 9, 55, 45
22, 7, 13, 35, 65
23, 9, 11, 45, 55
24, 9, 11, 45, 55
25, 9, 11, 45, 55
26, 4, 16, 20, 80
27, 11, 9, 55, 45
28, 11, 9, 55, 45
29, 10, 10, 50, 50
30, 10, 10, 50, 50
31, 7, 13, 35, 65
32, 12, 8, 60, 40
33, 7, 13, 35, 65
34, 9, 11, 45, 55
35, 9, 11, 45, 55
36, 6, 14, 30, 70
37, 8, 12, 40, 60
38, 11, 9, 55, 45
39, 11, 9, 55, 45
40, 11, 9, 55, 45
41, 6, 14, 30, 70
42, 11, 9, 55, 45
43, 7, 13, 35, 65
44, 10, 10, 50, 50
45, 10, 10, 50, 50
46, 9, 11, 45, 55
47, 7, 13, 35, 65
48, 8, 12, 40, 60
49, 11, 9, 55, 45
50, 11, 9, 55, 45
51, 6, 14, 30, 70
52, 8, 12, 40, 60
53, 7, 13, 35, 65
54, 13, 7, 65, 35
55, 8, 12, 40, 60
56, 11, 9, 55, 45
57, 7, 13, 35, 65
58, 14, 6, 70, 30
59, 5, 15, 25, 75
60, 11, 9, 55, 45
61, 6, 14, 30, 70
62, 10, 10, 50, 50
63, 9, 11, 45, 55
64, 9, 11, 45, 55
65, 8, 12, 40, 60
66, 9, 11, 45, 55
67, 11, 9, 55, 45
68, 11, 9, 55, 45
69, 6, 14, 30, 70
70, 6, 14, 30, 70
71, 8, 12, 40, 60
72, 12, 8, 60, 40
73, 6, 14, 30, 70
74, 13, 7, 65, 35
75, 6, 14, 30, 70
76, 12, 8, 60, 40
77, 10, 10, 50, 50
78, 9, 11, 45, 55
79, 8, 12, 40, 60
80, 11, 9, 55, 45
81, 8, 12, 40, 60
82, 9, 11, 45, 55
83, 9, 11, 45, 55
84, 8, 12, 40, 60
85, 7, 13, 35, 65
86, 12, 8, 60, 40
87, 7, 13, 35, 65
88, 13, 7, 65, 35
89, 6, 14, 30, 70
90, 9, 11, 45, 55
91, 11, 9, 55, 45
92, 9, 11, 45, 55
93, 8, 12, 40, 60
94, 8, 12, 40, 60
95, 6, 14, 30, 70
96, 10, 10, 50, 50
97, 10, 10, 50, 50
98, 10, 10, 50, 50
99, 9, 11, 45, 55
