step , number of hawks, number of doves, hawks percentage, doves percentage
0, 88, 114, 43, 56
1, 143, 59, 70, 29
2, 141, 61, 69, 30
3, 120, 82, 59, 40
4, 111, 91, 54, 45
5, 98, 104, 48, 51
6, 80, 122, 39, 60
7, 89, 113, 44, 55
8, 99, 103, 49, 50
9, 110, 92, 54, 45
10, 96, 106, 47, 52
11, 103, 99, 50, 49
12, 93, 109, 46, 53
13, 84, 118, 41, 58
14, 101, 101, 50, 50
15, 104, 98, 51, 48
16, 94, 108, 46, 53
17, 103, 99, 50, 49
18, 91, 111, 45, 54
19, 103, 99, 50, 49
20, 113, 89, 55, 44
21, 96, 106, 47, 52
22, 98, 104, 48, 51
23, 104, 98, 51, 48
24, 86, 116, 42, 57
25, 107, 95, 52, 47
26, 87, 115, 43, 56
27, 86, 116, 42, 57
28, 82, 120, 40, 59
29, 98, 104, 48, 51
30, 85, 117, 42, 57
31, 91, 111, 45, 54
32, 89, 113, 44, 55
33, 95, 107, 47, 52
34, 95, 107, 47, 52
35, 95, 107, 47, 52
36, 95, 107, 47, 52
37, 94, 108, 46, 53
38, 98, 104, 48, 51
39, 106, 96, 52, 47
40, 101, 101, 50, 50
41, 88, 114, 43, 56
42, 91, 111, 45, 54
43, 93, 109, 46, 53
44, 99, 103, 49, 50
45, 93, 109, 46, 53
46, 95, 107, 47, 52
47, 86, 116, 42, 57
48, 102, 100, 50, 49
49, 108, 94, 53, 46
50, 99, 103, 49, 50
